======================================================================
  Experiment 1: W1, W2, T_st (Threshold) Routing
======================================================================
  Topology:     geant.json
  sys_data idx: 0
  TM number:    7508
  Eval TMs:     [7506, 7507, 7508, 7509, 7510]
  Output dir:   /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508
  Sim end:      2.0s
  Queue:        random (q=15)

  Loading SYS data...
  Flow size:    724,074,804 bytes (auto-computed from max rate 2892.3 Mbps × 2.0s)
  Generated /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/traffic.tm
  Active pairs:   427
  Overflow pairs: 10 (demand > T_st)
  Total demand:   50581.4 Mbps (50.58 Gbps)
  Total flows:    1187

  Overflow pairs (d_st > T_st):
    0->9: demand=1657.1 Mbps  T_st=1390.3  base=1390.3  overflow=266.8
    0->19: demand=1506.4 Mbps  T_st=1391.1  base=1391.1  overflow=115.3
    2->0: demand=5422.9 Mbps  T_st=1371.2  base=1371.2  overflow=4051.7
    2->4: demand=1779.3 Mbps  T_st=1396.9  base=1396.9  overflow=382.4
    2->5: demand=4955.6 Mbps  T_st=1372.1  base=1372.1  overflow=3583.5
    2->6: demand=2618.3 Mbps  T_st=1389.6  base=1389.6  overflow=1228.7
    2->18: demand=2625.9 Mbps  T_st=1385.6  base=1385.6  overflow=1240.3
    7->4: demand=3404.2 Mbps  T_st=1378.1  base=1378.1  overflow=2026.1
    9->0: demand=3199.1 Mbps  T_st=1378.0  base=1378.0  overflow=1821.1
    19->0: demand=1604.1 Mbps  T_st=1388.4  base=1388.4  overflow=215.6

  Running: htsim_cbr -json_topo geant.json -tm traffic.tm -q 15 -queue_type random -end 2.0
  htsim finished.

  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/results_per_flow.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/results_per_tunnel.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7508/results_per_pair.csv

======================================================================
  KEY RESULTS
======================================================================
  Total Sent:       12,646,072,500 bytes  (50,584.3 Mbps)
  Total Delivered:  12,398,254,500 bytes  (49,593.0 Mbps)
  Total Loss:          247,818,000 bytes
  Delivery Ratio:           98.04%
  Loss Ratio:                1.96%

  >>> MaxEffFlow = 49,593.02 Mbps  (49.5930 Gbps)

  Pairs with loss (261 / 396):
     pair            sent       delivered          loss    loss%
  -------  --------------  --------------  ------------  -------
   0->11     106,987,500      33,237,000    73,750,500    68.9%
   7->4      851,050,500     798,252,000    52,798,500     6.2%
   4->11      70,350,000      18,411,000    51,939,000    73.8%
  12->14      32,764,500       4,852,500    27,912,000    85.2%
  15->11      16,042,500       3,471,000    12,571,500    78.4%
  11->4       58,107,000      47,263,500    10,843,500    18.7%
   2->14      39,205,500      32,956,500     6,249,000    15.9%
  18->11       2,238,000         603,000     1,635,000    73.1%
   7->14       2,646,000       1,275,000     1,371,000    51.8%
  21->11       1,488,000         309,000     1,179,000    79.2%
  11->14       2,461,500       1,756,500       705,000    28.6%
  12->21       7,593,000       6,933,000       660,000     8.7%
   5->14       4,066,500       3,504,000       562,500    13.8%
   7->11         666,000         130,500       535,500    80.4%
   2->11         663,000         138,000       525,000    79.2%
  11->12       1,491,000         990,000       501,000    33.6%
   5->11         639,000         154,500       484,500    75.8%
  11->15       1,225,500         900,000       325,500    26.6%
  12->11         393,000          96,000       297,000    75.6%
  11->2        1,126,500         849,000       277,500    24.6%
  11->21       1,602,000       1,348,500       253,500    15.8%
   6->11         271,500          40,500       231,000    85.1%
  11->0        4,590,000       4,395,000       195,000     4.2%
  11->18         721,500         556,500       165,000    22.9%
  12->17       2,502,000       2,346,000       156,000     6.2%
  14->11         175,500          37,500       138,000    78.6%
   7->1          550,500         439,500       111,000    20.2%
  16->11         126,000          24,000       102,000    81.0%
   1->11         117,000          28,500        88,500    75.6%
  11->5          235,500         150,000        85,500    36.3%
   2->21       3,484,500       3,417,000        67,500     1.9%
  11->9        1,345,500       1,281,000        64,500     4.8%
  14->17         156,000         112,500        43,500    27.9%
  10->11          43,500           7,500        36,000    82.8%
  11->6           88,500          63,000        25,500    28.8%
   2->5    1,238,910,000   1,238,886,000        24,000     0.0%
  17->14         496,500         472,500        24,000     4.8%
   2->18     656,467,500     656,445,000        22,500     0.0%
   2->0    1,355,739,000   1,355,718,000        21,000     0.0%
  12->18      12,435,000      12,414,000        21,000     0.2%
   2->1          784,500         765,000        19,500     2.5%
  12->4      113,500,500     113,481,000        19,500     0.0%
  19->0      401,017,500     401,001,000        16,500     0.0%
   0->19     376,606,500     376,593,000        13,500     0.0%
  10->14       4,233,000       4,221,000        12,000     0.3%
  17->18     173,242,500     173,230,500        12,000     0.0%
   8->0      299,682,000     299,671,500        10,500     0.0%
  15->21     255,423,000     255,412,500        10,500     0.0%
   2->6      654,589,500     654,580,500         9,000     0.0%
   7->3          304,500         295,500         9,000     3.0%
