flow_id,src,dst,path_idx,path_hops,demand_mbps,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
1,0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,22.2191,0.1868,48000,48000,0,0.00
2,0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,22.2191,7.4190,1855500,1855500,0,0.00
3,0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,22.2191,14.6129,3654000,3654000,0,0.00
4,0,2,0,q_r1_r3,62.7125,62.7125,15679500,15679500,0,0.00
5,0,4,0,q_r1_r5,48.2089,47.9330,11983500,11983500,0,0.00
6,0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,48.2089,0.0450,12000,12000,0,0.00
7,0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,48.2089,0.1410,36000,36000,0,0.00
8,0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,48.2089,0.0899,22500,22500,0,0.00
9,0,6,0,q_r1_r5 | q_r5_r7,2.8535,0.8909,223500,223500,0,0.00
10,0,6,1,q_r1_r3 | q_r3_r7,2.8535,1.9561,490500,490500,0,0.00
11,0,7,0,q_r1_r5 | q_r5_r8,241.9675,96.0915,24024000,24024000,0,0.00
12,0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,241.9675,20.5601,5140500,5140500,0,0.00
13,0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,241.9675,125.0847,31272000,31272000,0,0.00
14,0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,241.9675,0.2312,58500,58500,0,0.00
15,0,8,0,q_r1_r20 | q_r20_r9,438.2364,224.1811,56046000,56043000,3000,0.01
16,0,8,1,q_r1_r10 | q_r10_r9,438.2364,93.0805,23271000,23271000,0,0.00
17,0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,438.2364,113.0281,28258500,28257000,1500,0.01
18,0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,438.2364,7.9467,1987500,1987500,0,0.00
19,0,9,0,q_r1_r10,1648.5160,1637.3303,409333500,409330500,3000,0.00
20,0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1648.5160,0.4439,111000,111000,0,0.00
21,0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1648.5160,8.6085,2152500,2152500,0,0.00
22,0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1648.5160,2.1334,534000,534000,0,0.00
23,0,10,0,q_r1_r5 | q_r5_r11,0.2138,0.0965,25500,25500,0,0.00
24,0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.2138,0.1171,30000,30000,0,0.00
25,0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,478.9953,5.6791,1420500,207000,1213500,85.43
26,0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,478.9953,231.3043,57826500,10233000,47593500,82.30
27,0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,478.9953,240.3258,60082500,23628000,36454500,60.67
28,0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,478.9953,1.6861,423000,103500,319500,75.53
29,0,12,0,q_r1_r5 | q_r5_r13,41.7846,18.4203,4606500,4606500,0,0.00
30,0,12,1,q_r1_r3 | q_r3_r13,41.7846,23.3469,5838000,5838000,0,0.00
31,0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,41.7846,0.0174,4500,4500,0,0.00
32,0,13,1,q_r1_r3 | q_r3_r7 | q_r7_r14,0.0165,0.0146,4500,4500,0,0.00
33,0,14,0,q_r1_r5 | q_r5_r15,12.8631,12.8567,3214500,3214500,0,0.00
34,0,15,0,q_r1_r16,8.1134,8.1133,2029500,2029500,0,0.00
35,0,18,0,q_r1_r5 | q_r5_r19,1046.8957,987.7423,246936000,246933000,3000,0.00
36,0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,1046.8957,50.1490,12538500,12535500,3000,0.02
37,0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,1046.8957,9.0015,2251500,2251500,0,0.00
38,0,19,0,q_r1_r20,1506.6947,935.6864,233922000,233919000,3000,0.00
39,0,19,1,q_r1_r10 | q_r10_r9 | q_r9_r20,1506.6947,245.8188,61455000,61453500,1500,0.00
40,0,19,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,1506.6947,249.5779,62395500,62391000,4500,0.01
41,0,19,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,1506.6947,75.6118,18903000,18901500,1500,0.01
42,0,21,1,q_r1_r5 | q_r5_r19 | q_r19_r22,1.0487,0.3091,78000,76500,1500,1.92
43,0,21,2,q_r1_r3 | q_r3_r7 | q_r7_r22,1.0487,0.7370,184500,183000,1500,0.81
44,1,0,1,q_r2_r7 | q_r7_r3 | q_r3_r1,10.0225,7.0806,1771500,1771500,0,0.00
45,1,0,2,q_r2_r7 | q_r7_r5 | q_r5_r1,10.0225,2.9356,735000,735000,0,0.00
46,1,2,0,q_r2_r7 | q_r7_r3,3.9325,3.8516,963000,963000,0,0.00
47,1,2,3,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r3,3.9325,0.0729,19500,19500,0,0.00
48,1,3,0,q_r2_r15 | q_r15_r5 | q_r5_r4,0.4772,0.0143,4500,4500,0,0.00
49,1,3,1,q_r2_r7 | q_r7_r5 | q_r5_r4,0.4772,0.4629,117000,117000,0,0.00
50,1,4,0,q_r2_r15 | q_r15_r5,13.7164,0.4641,117000,117000,0,0.00
51,1,4,1,q_r2_r7 | q_r7_r5,13.7164,13.2523,3313500,3313500,0,0.00
52,1,5,0,q_r2_r7 | q_r7_r6,1.1261,0.5927,148500,148500,0,0.00
53,1,5,3,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r6,1.1261,0.5332,133500,133500,0,0.00
54,1,6,0,q_r2_r7,20.9326,19.4683,4867500,4867500,0,0.00
55,1,6,2,q_r2_r15 | q_r15_r5 | q_r5_r7,20.9326,1.3673,342000,342000,0,0.00
56,1,6,3,q_r2_r15 | q_r15_r22 | q_r22_r7,20.9326,0.0970,25500,25500,0,0.00
57,1,9,0,q_r2_r15 | q_r15_r5 | q_r5_r1 | q_r1_r10,98.7894,0.0597,15000,15000,0,0.00
58,1,9,1,q_r2_r7 | q_r7_r3 | q_r3_r1 | q_r1_r10,98.7894,68.1259,17032500,17031000,1500,0.01
59,1,9,2,q_r2_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,98.7894,30.6036,7651500,7651500,0,0.00
60,1,10,3,q_r2_r7 | q_r7_r5 | q_r5_r11,0.0313,0.0141,4500,4500,0,0.00
61,1,11,0,q_r2_r15 | q_r15_r12,0.1933,0.0905,24000,6000,18000,75.00
62,1,11,2,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r12,0.1933,0.0518,13500,4500,9000,66.67
63,1,11,3,q_r2_r7 | q_r7_r3 | q_r3_r13 | q_r13_r12,0.1933,0.0411,10500,0,10500,100.00
64,1,12,1,q_r2_r7 | q_r7_r3 | q_r3_r13,0.6198,0.6093,153000,153000,0,0.00
65,1,12,2,q_r2_r15 | q_r15_r12 | q_r12_r13,0.6198,0.0105,3000,1500,1500,50.00
66,1,13,0,q_r2_r14,0.4316,0.0503,13500,13500,0,0.00
67,1,13,1,q_r2_r7 | q_r7_r14,0.4316,0.2468,63000,63000,0,0.00
68,1,13,2,q_r2_r15 | q_r15_r5 | q_r5_r7 | q_r7_r14,0.4316,0.1299,33000,33000,0,0.00
69,1,14,0,q_r2_r15,13.2381,13.2059,3301500,3301500,0,0.00
70,1,14,2,q_r2_r7 | q_r7_r5 | q_r5_r15,13.2381,0.0234,6000,6000,0,0.00
71,1,15,0,q_r2_r15 | q_r15_r22 | q_r22_r16,2.9387,1.0735,268500,268500,0,0.00
72,1,15,1,q_r2_r7 | q_r7_r22 | q_r22_r16,2.9387,1.8650,466500,466500,0,0.00
73,1,16,0,q_r2_r15 | q_r15_r5 | q_r5_r19 | q_r19_r17,30.2525,2.4411,610500,610500,0,0.00
