======================================================================
  Experiment 1: W1, W2, T_st (Threshold) Routing
======================================================================
  Topology:     geant.json
  sys_data idx: 0
  TM number:    7509
  Eval TMs:     [7506, 7507, 7508, 7509, 7510]
  Output dir:   /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509
  Sim end:      2.0s
  Queue:        random (q=15)

  Loading SYS data...
  Flow size:    747,504,961 bytes (auto-computed from max rate 2986.0 Mbps × 2.0s)
  Generated /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/traffic.tm
  Active pairs:   430
  Overflow pairs: 10 (demand > T_st)
  Total demand:   52283.8 Mbps (52.28 Gbps)
  Total flows:    1206

  Overflow pairs (d_st > T_st):
    0->9: demand=1648.5 Mbps  T_st=1390.3  base=1390.3  overflow=258.2
    0->19: demand=1506.7 Mbps  T_st=1391.1  base=1391.1  overflow=115.6
    2->0: demand=5747.8 Mbps  T_st=1371.2  base=1371.2  overflow=4376.6
    2->4: demand=3008.1 Mbps  T_st=1396.9  base=1396.9  overflow=1611.2
    2->5: demand=4751.4 Mbps  T_st=1372.1  base=1372.1  overflow=3379.3
    2->6: demand=3030.5 Mbps  T_st=1389.6  base=1389.6  overflow=1640.9
    2->18: demand=2693.2 Mbps  T_st=1385.6  base=1385.6  overflow=1307.6
    7->4: demand=3479.3 Mbps  T_st=1378.1  base=1378.1  overflow=2101.2
    9->0: demand=3218.1 Mbps  T_st=1378.0  base=1378.0  overflow=1840.1
    19->0: demand=1668.0 Mbps  T_st=1388.4  base=1388.4  overflow=279.5

  Running: htsim_cbr -json_topo geant.json -tm traffic.tm -q 15 -queue_type random -end 2.0
  htsim finished.

  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/results_per_flow.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/results_per_tunnel.csv
  Wrote /Users/dathar/Purdue/Research/csg-htsim/experiments/geant-exp/exp1_threshold/output/idx0_tm7509/results_per_pair.csv

======================================================================
  KEY RESULTS
======================================================================
  Total Sent:       13,071,642,000 bytes  (52,286.6 Mbps)
  Total Delivered:  12,784,336,500 bytes  (51,137.3 Mbps)
  Total Loss:          287,305,500 bytes
  Delivery Ratio:           97.80%
  Loss Ratio:                2.20%

  >>> MaxEffFlow = 51,137.35 Mbps  (51.1373 Gbps)

  Pairs with loss (255 / 404):
     pair            sent       delivered          loss    loss%
  -------  --------------  --------------  ------------  -------
   0->11     119,752,500      34,171,500    85,581,000    71.5%
   7->4      869,839,500     813,798,000    56,041,500     6.4%
   4->11      72,310,500      17,107,500    55,203,000    76.3%
  12->14      43,320,000       6,033,000    37,287,000    86.1%
  11->4       66,304,500      48,588,000    17,716,500    26.7%
  15->11      18,009,000       3,492,000    14,517,000    80.6%
   2->14      35,788,500      30,019,500     5,769,000    16.1%
  18->11       2,838,000         684,000     2,154,000    75.9%
   7->14       2,619,000       1,252,500     1,366,500    52.2%
  21->11       1,354,500         240,000     1,114,500    82.3%
  11->12       2,539,500       1,594,500       945,000    37.2%
  11->14       2,287,500       1,414,500       873,000    38.2%
  11->5        1,833,000       1,018,500       814,500    44.4%
   5->14       5,211,000       4,476,000       735,000    14.1%
  11->0        3,574,500       3,030,000       544,500    15.2%
  12->17       8,281,500       7,783,500       498,000     6.0%
  11->21       1,926,000       1,444,500       481,500    25.0%
   5->11         591,000         138,000       453,000    76.6%
  14->11         571,500         129,000       442,500    77.4%
  12->21       4,941,000       4,518,000       423,000     8.6%
   2->11         468,000          73,500       394,500    84.3%
  12->11         447,000          72,000       375,000    83.9%
  11->15       1,024,500         664,500       360,000    35.1%
  11->18         897,000         570,000       327,000    36.5%
   7->1        1,399,500       1,089,000       310,500    22.2%
   6->11         298,500          42,000       256,500    85.9%
   7->11         292,500          39,000       253,500    86.7%
  11->2          610,500         421,500       189,000    31.0%
   2->21       7,329,000       7,180,500       148,500     2.0%
   2->1        6,222,000       6,085,500       136,500     2.2%
   9->11         156,000          24,000       132,000    84.6%
  11->9          742,500         622,500       120,000    16.2%
  16->11         127,500          30,000        97,500    76.5%
   8->11         100,500           7,500        93,000    92.5%
   3->11          66,000           4,500        61,500    93.2%
  11->1           93,000          40,500        52,500    56.5%
  11->6          114,000          66,000        48,000    42.1%
   1->11          48,000          10,500        37,500    78.1%
   2->0    1,436,946,000   1,436,923,500        22,500     0.0%
  19->11          21,000               0        21,000   100.0%
  20->11          22,500           3,000        19,500    86.7%
  13->11          19,500           1,500        18,000    92.3%
  19->0      416,998,500     416,980,500        18,000     0.0%
   2->5    1,187,851,500   1,187,835,000        16,500     0.0%
   2->18     673,312,500     673,296,000        16,500     0.0%
  14->17          60,000          45,000        15,000    25.0%
  12->4       80,166,000      80,152,500        13,500     0.0%
  17->14         163,500         150,000        13,500     8.3%
   2->4      752,017,500     752,005,500        12,000     0.0%
  15->21     259,759,500     259,747,500        12,000     0.0%
   0->19     376,675,500     376,665,000        10,500     0.0%
