src,dst,path_idx,path_hops,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,24.3695,52500,52500,0,0.00
0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,24.3695,2035500,2035500,0,0.00
0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,24.3695,4008000,4008000,0,0.00
0,2,0,q_r1_r3,97.8881,24472500,24472500,0,0.00
0,4,0,q_r1_r5,43.3509,10776000,10776000,0,0.00
0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,43.3509,10500,10500,0,0.00
0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,43.3509,33000,33000,0,0.00
0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,43.3509,21000,21000,0,0.00
0,6,0,q_r1_r5 | q_r5_r7,3.2203,252000,252000,0,0.00
0,6,1,q_r1_r3 | q_r3_r7,3.2203,552000,552000,0,0.00
0,7,0,q_r1_r5 | q_r5_r8,228.2351,22660500,22660500,0,0.00
0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,228.2351,4849500,4849500,0,0.00
0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,228.2351,29497500,29496000,1500,0.01
0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,228.2351,55500,55500,0,0.00
0,8,0,q_r1_r20 | q_r20_r9,416.3721,53250000,53248500,1500,0.00
0,8,1,q_r1_r10 | q_r10_r9,416.3721,22110000,22110000,0,0.00
0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,416.3721,26848500,26847000,1500,0.01
0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,416.3721,1888500,1888500,0,0.00
0,9,0,q_r1_r10,1545.7798,384762000,384759000,3000,0.00
0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1545.7798,67500,67500,0,0.00
0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1545.7798,1296000,1296000,0,0.00
0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1545.7798,322500,322500,0,0.00
0,10,0,q_r1_r5 | q_r5_r11,0.1544,18000,18000,0,0.00
0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1544,22500,22500,0,0.00
0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,426.9561,1266000,225000,1041000,82.23
