flow_id,src,dst,path_idx,path_hops,demand_mbps,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
1,0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,24.3695,0.2049,52500,52500,0,0.00
2,0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,24.3695,8.1370,2035500,2035500,0,0.00
3,0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,24.3695,16.0271,4008000,4008000,0,0.00
4,0,2,0,q_r1_r3,97.8881,97.8880,24472500,24472500,0,0.00
5,0,4,0,q_r1_r5,43.3509,43.1028,10776000,10776000,0,0.00
6,0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,43.3509,0.0405,10500,10500,0,0.00
7,0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,43.3509,0.1268,33000,33000,0,0.00
8,0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,43.3509,0.0808,21000,21000,0,0.00
9,0,6,0,q_r1_r5 | q_r5_r7,3.2203,1.0054,252000,252000,0,0.00
10,0,6,1,q_r1_r3 | q_r3_r7,3.2203,2.2075,552000,552000,0,0.00
11,0,7,0,q_r1_r5 | q_r5_r8,228.2351,90.6380,22660500,22660500,0,0.00
12,0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,228.2351,19.3933,4849500,4849500,0,0.00
13,0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,228.2351,117.9858,29497500,29496000,1500,0.01
14,0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,228.2351,0.2181,55500,55500,0,0.00
15,0,8,0,q_r1_r20 | q_r20_r9,416.3721,212.9964,53250000,53248500,1500,0.00
16,0,8,1,q_r1_r10 | q_r10_r9,416.3721,88.4365,22110000,22110000,0,0.00
17,0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,416.3721,107.3889,26848500,26847000,1500,0.01
18,0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,416.3721,7.5502,1888500,1888500,0,0.00
19,0,9,0,q_r1_r10,1545.7798,1539.0443,384762000,384759000,3000,0.00
20,0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1545.7798,0.2673,67500,67500,0,0.00
21,0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1545.7798,5.1837,1296000,1296000,0,0.00
22,0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1545.7798,1.2846,322500,322500,0,0.00
23,0,10,0,q_r1_r5 | q_r5_r11,0.1544,0.0697,18000,18000,0,0.00
24,0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1544,0.0846,22500,22500,0,0.00
25,0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,426.9561,5.0621,1266000,225000,1041000,82.23
26,0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,426.9561,206.1749,51544500,11154000,40390500,78.36
27,0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,426.9561,214.2163,53554500,24769500,28785000,53.75
28,0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,426.9561,1.5029,376500,117000,259500,68.92
29,0,12,0,q_r1_r5 | q_r5_r13,37.0240,16.3216,4081500,4081500,0,0.00
30,0,12,1,q_r1_r3 | q_r3_r13,37.0240,20.6869,5172000,5172000,0,0.00
31,0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,37.0240,0.0154,4500,4500,0,0.00
32,0,14,0,q_r1_r5 | q_r5_r15,6.4040,6.4008,1600500,1600500,0,0.00
33,0,15,0,q_r1_r16,7.5795,7.5793,1896000,1896000,0,0.00
34,0,18,0,q_r1_r5 | q_r5_r19,955.5659,901.5730,225394500,225391500,3000,0.00
35,0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,955.5659,45.7741,11445000,11442000,3000,0.03
36,0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,955.5659,8.2162,2055000,2055000,0,0.00
37,0,19,0,q_r1_r20,1467.3170,922.8531,230713500,230707500,6000,0.00
38,0,19,1,q_r1_r10 | q_r10_r9 | q_r9_r20,1467.3170,235.9496,58987500,58987500,0,0.00
39,0,19,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,1467.3170,239.6859,59922000,59917500,4500,0.01
40,0,19,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,1467.3170,68.8284,17208000,17206500,1500,0.01
41,0,21,1,q_r1_r5 | q_r5_r19 | q_r19_r22,0.3382,0.0997,25500,24000,1500,5.88
42,0,21,2,q_r1_r3 | q_r3_r7 | q_r7_r22,0.3382,0.2377,60000,60000,0,0.00
43,1,0,1,q_r2_r7 | q_r7_r3 | q_r3_r1,2.3795,1.6810,421500,421500,0,0.00
