src,dst,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,24.3695,6096000,6096000,0,0.00
0,2,97.8881,24472500,24472500,0,0.00
0,4,43.3509,10840500,10840500,0,0.00
0,6,3.2203,804000,804000,0,0.00
0,7,228.2351,57063000,57061500,1500,0.00
0,8,416.3721,104097000,104094000,3000,0.00
0,9,1545.7798,386448000,386445000,3000,0.00
0,10,0.1544,40500,40500,0,0.00
0,11,426.9561,106741500,36265500,70476000,66.02
0,12,37.0240,9258000,9258000,0,0.00
0,14,6.4040,1600500,1600500,0,0.00
0,15,7.5795,1896000,1896000,0,0.00
0,18,955.5659,238894500,238888500,6000,0.00
0,19,1467.3170,366831000,366819000,12000,0.00
0,21,0.3382,85500,84000,1500,1.75
1,0,2.3795,597000,597000,0,0.00
1,2,2.5568,639000,639000,0,0.00
1,3,0.1815,45000,45000,0,0.00
1,4,8.8342,2209500,2209500,0,0.00
1,5,1.3054,328500,328500,0,0.00
1,6,20.1787,5046000,5046000,0,0.00
1,9,83.9072,20979000,20977500,1500,0.01
1,11,0.6403,162000,39000,123000,75.93
1,13,0.1553,40500,40500,0,0.00
1,14,10.1265,2530500,2530500,0,0.00
1,15,1.5799,397500,397500,0,0.00
1,16,32.7154,8181000,8178000,3000,0.04
1,18,153.0206,38257500,38254500,3000,0.01
1,19,0.0376,10500,7500,3000,28.57
1,20,0.0847,22500,19500,3000,13.33
1,21,10.8046,2703000,2700000,3000,0.11
2,0,3390.4048,847605000,847594500,10500,0.00
2,1,5.1190,1281000,1257000,24000,1.87
2,3,0.7335,183000,183000,0,0.00
2,4,1090.3076,272580000,272575500,4500,0.00
2,5,3411.5114,852880500,852870000,10500,0.00
2,6,1176.3675,294094500,294093000,1500,0.00
2,7,0.2114,54000,54000,0,0.00
2,8,0.2894,73500,73500,0,0.00
2,9,30.0236,7507500,7507500,0,0.00
2,10,0.9942,252000,252000,0,0.00
2,11,1.1880,300000,60000,240000,80.00
2,12,1.0583,264000,262500,1500,0.57
2,13,0.1663,45000,42000,3000,6.67
2,14,140.2736,35070000,29563500,5506500,15.70
2,15,21.7589,5442000,5437500,4500,0.08
2,17,84.1844,21048000,21043500,4500,0.02
2,18,1420.1703,355044000,355033500,10500,0.00
2,19,1.2261,309000,306000,3000,0.97
2,20,0.4858,123000,117000,6000,4.88
2,21,9.3162,2331000,2281500,49500,2.12
3,0,42.7443,10686000,10684500,1500,0.01
3,1,0.0183,3000,3000,0,0.00
3,2,0.7847,198000,198000,0,0.00
3,4,13.9158,3480000,3480000,0,0.00
3,5,0.6315,160500,160500,0,0.00
3,6,61.3305,15336000,15336000,0,0.00
3,8,0.9109,229500,229500,0,0.00
3,9,8.7462,2187000,2187000,0,0.00
3,11,0.2020,51000,10500,40500,79.41
3,12,0.0180,4500,3000,1500,33.33
3,14,22.9462,5736000,5734500,1500,0.03
3,15,10.7361,2685000,2682000,3000,0.11
3,18,18.8665,4717500,4714500,3000,0.06
3,19,1.2520,316500,312000,4500,1.42
3,21,16.3571,4090500,4086000,4500,0.11
4,0,356.7477,89188500,89188500,0,0.00
4,1,31.6742,7920000,7920000,0,0.00
4,2,56.1330,14037000,14037000,0,0.00
4,3,285.0627,71266500,71266500,0,0.00
4,5,126.8277,31710000,31708500,1500,0.00
4,6,134.8894,33723000,33723000,0,0.00
4,7,127.7594,31939500,31939500,0,0.00
4,8,2.8622,718500,718500,0,0.00
4,9,62.0028,15502500,15502500,0,0.00
4,10,2.3942,598500,598500,0,0.00
4,11,245.3414,61336500,16672500,44664000,72.82
4,12,39.8851,9972000,9972000,0,0.00
4,13,0.6319,159000,159000,0,0.00
4,14,244.6860,61173000,61168500,4500,0.01
4,15,54.1424,13539000,13539000,0,0.00
4,16,9.0993,2275500,2275500,0,0.00
4,17,2.8941,723000,723000,0,0.00
4,18,711.3158,177832500,177831000,1500,0.00
4,19,743.1857,185800500,185790000,10500,0.01
4,20,37.6224,9408000,9408000,0,0.00
4,21,154.5702,38644500,38643000,1500,0.00
5,0,27.7436,6940500,6939000,1500,0.02
5,1,0.8750,220500,220500,0,0.00
5,2,57.8691,14469000,14469000,0,0.00
5,3,1.8024,451500,451500,0,0.00
5,4,137.7777,34446000,34446000,0,0.00
5,6,13.7873,3447000,3447000,0,0.00
5,7,12.7703,3193500,3193500,0,0.00
5,8,0.4294,108000,105000,3000,2.78
5,9,10.4944,2626500,2626500,0,0.00
5,10,0.1061,25500,25500,0,0.00
5,11,2.9083,730500,183000,547500,74.95
5,12,10.4269,2607000,2607000,0,0.00
5,13,0.0515,15000,12000,3000,20.00
5,14,17.6153,4407000,3793500,613500,13.92
5,15,5.5037,1375500,1374000,1500,0.11
5,16,0.8412,210000,207000,3000,1.43
5,17,2.6189,655500,654000,1500,0.23
5,18,9.4227,2358000,2353500,4500,0.19
5,19,1.2563,316500,310500,6000,1.90
5,20,0.2148,54000,49500,4500,8.33
5,21,98.4747,24619500,24613500,6000,0.02
6,0,8.6076,2151000,2151000,0,0.00
6,1,10.0533,2515500,2515500,0,0.00
6,2,31.9626,7989000,7989000,0,0.00
6,3,12.8703,3217500,3217500,0,0.00
6,4,37.0810,9271500,9271500,0,0.00
6,5,37.3212,9330000,9330000,0,0.00
6,7,12.7130,3181500,3181500,0,0.00
6,8,0.4614,120000,120000,0,0.00
6,9,0.5232,132000,132000,0,0.00
6,10,0.2965,73500,73500,0,0.00
6,11,3.0583,763500,147000,616500,80.75
6,12,2.4380,612000,612000,0,0.00
6,13,0.2403,61500,61500,0,0.00
6,14,563.5906,140899500,140896500,3000,0.00
6,15,15.3685,3843000,3841500,1500,0.04
6,16,6.9419,1738500,1735500,3000,0.17
6,17,2.6693,670500,669000,1500,0.22
6,18,36.7683,9195000,9192000,3000,0.03
6,19,2.5529,640500,639000,1500,0.23
6,20,2.2124,555000,550500,4500,0.81
6,21,14.3997,3600000,3600000,0,0.00
7,0,63.5275,15885000,15885000,0,0.00
7,1,0.5794,148500,120000,28500,19.19
7,2,18.2560,4566000,4564500,1500,0.03
7,3,1.3591,343500,334500,9000,2.62
7,4,3319.3901,829851000,780883500,48967500,5.90
7,5,4.6904,1174500,1174500,0,0.00
7,6,2.7586,693000,693000,0,0.00
7,8,1.3761,346500,342000,4500,1.30
7,9,44.5245,11134500,11128500,6000,0.05
7,10,0.1643,37500,34500,3000,8.00
7,11,1.7285,436500,78000,358500,82.13
7,12,5.3826,1345500,1342500,3000,0.22
7,14,13.4351,3361500,1642500,1719000,51.14
7,15,6.7598,1693500,1687500,6000,0.35
7,16,0.4290,111000,105000,6000,5.41
7,17,11.6497,2914500,2908500,6000,0.21
7,18,94.4299,23611500,23604000,7500,0.03
7,19,4.1884,1050000,1044000,6000,0.57
7,20,0.5850,148500,142500,6000,4.04
7,21,307.5137,76881000,76873500,7500,0.01
8,0,1183.2512,295816500,295810500,6000,0.00
8,1,0.1346,37500,37500,0,0.00
8,2,10.6214,2659500,2658000,1500,0.06
8,4,108.3404,27088500,27085500,3000,0.01
8,5,0.0405,9000,9000,0,0.00
8,6,0.1311,33000,31500,1500,4.55
8,9,298.0731,74521500,74520000,1500,0.00
8,14,11.4942,2875500,2875500,0,0.00
8,15,0.2412,61500,57000,4500,7.32
8,17,0.3702,91500,90000,1500,1.64
8,18,24.8595,6216000,6213000,3000,0.05
8,19,5.9634,1491000,1488000,3000,0.20
8,20,0.1433,37500,33000,4500,12.00
8,21,0.2488,63000,60000,3000,4.76
9,0,3300.0888,825024000,825019500,4500,0.00
9,1,2.7230,684000,682500,1500,0.22
9,2,20.8779,5221500,5221500,0,0.00
9,4,372.4276,93108000,93106500,1500,0.00
9,5,0.3726,96000,96000,0,0.00
9,6,1.2367,312000,310500,1500,0.48
9,7,0.3615,93000,88500,4500,4.84
9,8,359.7993,89953500,89950500,3000,0.00
9,10,0.6842,172500,169500,3000,1.74
9,11,0.5036,126000,28500,97500,77.38
9,13,0.4939,126000,121500,4500,3.57
9,14,18.4083,4602000,4600500,1500,0.03
9,15,10.3047,2578500,2575500,3000,0.12
9,17,0.8841,223500,219000,4500,2.01
9,18,55.8073,13954500,13953000,1500,0.01
9,19,7.1380,1788000,1783500,4500,0.25
9,20,28.2491,7063500,7059000,4500,0.06
9,21,0.4121,105000,102000,3000,2.86
10,0,0.3374,85500,85500,0,0.00
10,1,0.4217,108000,108000,0,0.00
10,2,0.7881,198000,196500,1500,0.76
10,3,0.4481,114000,114000,0,0.00
10,4,14.0975,3526500,3526500,0,0.00
10,5,1.6502,415500,415500,0,0.00
10,6,5.7704,1446000,1446000,0,0.00
10,7,0.0964,24000,24000,0,0.00
10,9,0.3409,87000,84000,3000,3.45
10,12,0.2573,64500,63000,1500,2.33
10,14,22.7425,5689500,5676000,13500,0.24
10,15,2.8365,712500,708000,4500,0.63
10,16,1.1886,300000,297000,3000,1.00
10,17,0.1597,39000,37500,1500,3.85
10,18,11.2355,2814000,2808000,6000,0.21
10,21,0.1162,30000,28500,1500,5.00
11,0,18.3157,4578000,4452000,126000,2.75
11,1,0.0679,18000,13500,4500,25.00
11,2,3.0762,772500,622500,150000,19.42
11,4,234.8192,58707000,48301500,10405500,17.72
11,5,0.6187,156000,102000,54000,34.62
11,6,0.3815,96000,72000,24000,25.00
11,7,0.1246,34500,27000,7500,21.74
11,9,4.4554,1114500,1068000,46500,4.17
11,12,6.3678,1590000,1195500,394500,24.81
11,14,6.5447,1639500,1191000,448500,27.36
11,15,4.0718,1021500,742500,279000,27.31
11,18,2.5271,633000,478500,154500,24.41
11,20,0.0337,10500,4500,6000,57.14
11,21,7.4780,1872000,1588500,283500,15.14
12,0,46.1041,11527500,11527500,0,0.00
12,1,8.7842,2199000,2190000,9000,0.41
12,2,23.7541,5940000,5938500,1500,0.03
12,3,0.8277,207000,205500,1500,0.72
12,4,398.4094,99604500,99588000,16500,0.02
