src,dst,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,25.5175,6382500,6381000,1500,0.02
0,2,50.2868,12573000,12573000,0,0.00
0,4,46.2120,11556000,11556000,0,0.00
0,6,2.6759,669000,669000,0,0.00
0,7,260.8516,65217000,65215500,1500,0.00
0,8,516.5464,129141000,129136500,4500,0.00
0,9,1724.4748,431121000,431119500,1500,0.00
0,10,0.1996,52500,52500,0,0.00
0,11,524.3426,131089500,32905500,98184000,74.90
0,12,64.3565,16092000,16092000,0,0.00
0,13,0.0202,4500,3000,1500,33.33
0,14,14.8684,3715500,3715500,0,0.00
0,15,9.6342,2409000,2409000,0,0.00
0,18,1059.0341,264760500,264754500,6000,0.00
0,19,1510.4081,377604000,377590500,13500,0.00
0,21,0.4216,106500,103500,3000,2.82
1,0,2.9851,747000,745500,1500,0.20
1,2,3.7623,940500,940500,0,0.00
1,3,0.4247,108000,108000,0,0.00
1,4,23.0584,5767500,5766000,1500,0.03
1,5,0.6947,174000,174000,0,0.00
1,6,65.7749,16446000,16446000,0,0.00
1,7,0.1237,30000,30000,0,0.00
1,8,0.2553,63000,63000,0,0.00
1,9,55.1130,13780500,13780500,0,0.00
1,10,0.4062,102000,102000,0,0.00
1,11,0.3573,91500,18000,73500,80.33
1,12,1.1762,295500,289500,6000,2.03
1,13,0.4764,120000,117000,3000,2.50
1,14,13.0099,3252000,3250500,1500,0.05
1,15,0.7481,189000,187500,1500,0.79
1,16,24.9399,6238500,6232500,6000,0.10
1,17,0.0236,3000,1500,1500,50.00
1,18,32.2590,8068500,8062500,6000,0.07
1,19,0.0888,22500,19500,3000,13.33
1,20,5.2121,1305000,1302000,3000,0.23
1,21,2.4461,612000,609000,3000,0.49
2,0,5189.1148,1297282500,1297261500,21000,0.00
2,1,51.4827,12874500,12589500,285000,2.21
2,3,0.8567,216000,216000,0,0.00
2,4,1544.9681,386247000,386238000,9000,0.00
2,5,4598.0199,1149508500,1149492000,16500,0.00
2,6,2882.1544,720541500,720531000,10500,0.00
2,7,0.3700,94500,93000,1500,1.59
2,8,0.2561,66000,63000,3000,4.55
2,9,71.8881,17973000,17973000,0,0.00
2,10,0.7456,190500,189000,1500,0.79
2,11,2.4122,606000,108000,498000,82.18
2,12,2.1594,538500,537000,1500,0.28
2,13,0.4117,105000,102000,3000,2.86
2,14,106.8212,26709000,22372500,4336500,16.24
2,15,6.8417,1713000,1708500,4500,0.26
2,16,0.1687,45000,40500,4500,10.00
2,17,78.8726,19720500,19716000,4500,0.02
2,18,2252.5640,563145000,563127000,18000,0.00
2,19,5.2700,1320000,1315500,4500,0.34
2,20,0.4833,123000,117000,6000,4.88
2,21,51.2964,12823500,12571500,252000,1.97
3,0,44.6257,11155500,11154000,1500,0.01
3,2,0.5795,147000,147000,0,0.00
3,4,30.2470,7561500,7561500,0,0.00
3,5,0.5980,151500,151500,0,0.00
3,6,1.4368,360000,360000,0,0.00
3,8,1.4773,370500,370500,0,0.00
3,9,17.4170,4356000,4356000,0,0.00
3,10,0.0459,10500,10500,0,0.00
3,12,0.8529,213000,213000,0,0.00
3,14,31.7196,7933500,7929000,4500,0.06
3,15,0.8348,211500,208500,3000,1.42
3,17,0.6485,162000,159000,3000,1.85
3,18,2.4276,610500,607500,3000,0.49
3,19,1.3547,343500,339000,4500,1.31
3,21,4.8717,1219500,1215000,4500,0.37
4,0,455.2153,113805000,113805000,0,0.00
4,1,36.0197,9006000,9006000,0,0.00
4,2,74.3301,18585000,18583500,1500,0.01
4,3,171.8049,42952500,42951000,1500,0.00
4,5,123.4902,30876000,30874500,1500,0.00
4,6,126.1470,31536000,31536000,0,0.00
4,7,132.7619,33192000,33192000,0,0.00
4,8,2.1781,547500,547500,0,0.00
4,9,63.4131,15855000,15853500,1500,0.01
4,10,2.8336,708000,706500,1500,0.21
4,11,342.8308,85711500,18468000,67243500,78.45
4,12,73.5196,18381000,18381000,0,0.00
4,13,1.4277,360000,360000,0,0.00
4,14,68.1823,17046000,17046000,0,0.00
4,15,50.0458,12514500,12514500,0,0.00
4,16,1.7525,441000,441000,0,0.00
4,17,10.1260,2535000,2535000,0,0.00
4,18,692.0821,173025000,173022000,3000,0.00
4,19,728.3902,182100000,182092500,7500,0.00
4,20,6.4371,1609500,1609500,0,0.00
4,21,141.0304,35260500,35259000,1500,0.00
5,0,25.6967,6427500,6426000,1500,0.02
5,1,4.2276,1059000,1059000,0,0.00
5,2,121.8452,30463500,30463500,0,0.00
5,3,0.8174,204000,204000,0,0.00
5,4,172.3866,43099500,43098000,1500,0.00
5,6,25.1169,6280500,6280500,0,0.00
5,7,8.0041,1999500,1999500,0,0.00
5,8,0.8924,225000,223500,1500,0.67
5,9,15.3818,3847500,3844500,3000,0.08
5,10,0.2887,73500,72000,1500,2.04
5,11,2.5373,637500,132000,505500,79.29
5,12,63.2270,15807000,15807000,0,0.00
5,13,0.3293,82500,81000,1500,1.82
5,14,18.0077,4506000,3876000,630000,13.98
5,15,7.5217,1881000,1878000,3000,0.16
5,16,0.8714,217500,214500,3000,1.38
5,17,3.8111,954000,952500,1500,0.16
5,18,13.4354,3361500,3357000,4500,0.13
5,19,2.0774,523500,516000,7500,1.43
5,20,0.2401,61500,57000,4500,7.32
5,21,101.0703,25267500,25263000,4500,0.02
6,0,3.1874,796500,796500,0,0.00
6,1,19.4905,4876500,4875000,1500,0.03
6,2,49.6477,12414000,12412500,1500,0.01
6,3,16.1822,4045500,4045500,0,0.00
6,4,43.6204,10906500,10906500,0,0.00
6,5,62.3193,15579000,15579000,0,0.00
6,7,4.0833,1024500,1024500,0,0.00
6,8,1.0299,261000,261000,0,0.00
6,9,0.6716,169500,169500,0,0.00
6,10,0.2639,67500,67500,0,0.00
6,11,1.5763,396000,55500,340500,85.98
6,12,3.0502,765000,765000,0,0.00
6,13,1.1539,292500,291000,1500,0.51
6,14,410.2641,102568500,102565500,3000,0.00
6,15,6.4781,1620000,1618500,1500,0.09
6,16,11.8263,2958000,2955000,3000,0.10
6,17,2.8688,718500,717000,1500,0.21
6,18,44.3278,11083500,11082000,1500,0.01
6,19,4.0889,1023000,1021500,1500,0.15
6,20,39.7590,9942000,9936000,6000,0.06
6,21,59.2017,14800500,14800500,0,0.00
7,0,67.3937,16851000,16849500,1500,0.01
7,1,2.6238,660000,510000,150000,22.73
7,2,18.3519,4591500,4590000,1500,0.03
7,3,2.0212,508500,498000,10500,2.06
