src,dst,path_idx,path_hops,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,25.5175,54000,54000,0,0.00
0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,25.5175,2131500,2131500,0,0.00
0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,25.5175,4197000,4195500,1500,0.04
0,2,0,q_r1_r3,50.2868,12573000,12573000,0,0.00
0,4,0,q_r1_r5,46.2120,11487000,11487000,0,0.00
0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,46.2120,12000,12000,0,0.00
0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,46.2120,34500,34500,0,0.00
0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,46.2120,22500,22500,0,0.00
0,6,0,q_r1_r5 | q_r5_r7,2.6759,210000,210000,0,0.00
0,6,1,q_r1_r3 | q_r3_r7,2.6759,459000,459000,0,0.00
0,7,0,q_r1_r5 | q_r5_r8,260.8516,25899000,25897500,1500,0.01
0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,260.8516,5542500,5542500,0,0.00
0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,260.8516,33712500,33712500,0,0.00
0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,260.8516,63000,63000,0,0.00
0,8,0,q_r1_r20 | q_r20_r9,516.5464,66061500,66058500,3000,0.00
0,8,1,q_r1_r10 | q_r10_r9,516.5464,27429000,27429000,0,0.00
0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,516.5464,33307500,33306000,1500,0.00
0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,516.5464,2343000,2343000,0,0.00
0,9,0,q_r1_r10,1724.4748,427500000,427498500,1500,0.00
0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1724.4748,144000,144000,0,0.00
0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1724.4748,2785500,2785500,0,0.00
0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1724.4748,691500,691500,0,0.00
0,10,0,q_r1_r5 | q_r5_r11,0.1996,24000,24000,0,0.00
0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1996,28500,28500,0,0.00
0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,524.3426,1555500,213000,1342500,86.31
0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,524.3426,63301500,11152500,52149000,82.38
