flow_id,src,dst,path_idx,path_hops,demand_mbps,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
1,0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,25.5175,0.2146,54000,54000,0,0.00
2,0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,25.5175,8.5203,2131500,2131500,0,0.00
3,0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,25.5175,16.7822,4197000,4195500,1500,0.04
4,0,2,0,q_r1_r3,50.2868,50.2868,12573000,12573000,0,0.00
5,0,4,0,q_r1_r5,46.2120,45.9475,11487000,11487000,0,0.00
6,0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,46.2120,0.0432,12000,12000,0,0.00
7,0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,46.2120,0.1351,34500,34500,0,0.00
8,0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,46.2120,0.0861,22500,22500,0,0.00
9,0,6,0,q_r1_r5 | q_r5_r7,2.6759,0.8355,210000,210000,0,0.00
10,0,6,1,q_r1_r3 | q_r3_r7,2.6759,1.8344,459000,459000,0,0.00
11,0,7,0,q_r1_r5 | q_r5_r8,260.8516,103.5908,25899000,25897500,1500,0.01
12,0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,260.8516,22.1647,5542500,5542500,0,0.00
13,0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,260.8516,134.8468,33712500,33712500,0,0.00
14,0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,260.8516,0.2493,63000,63000,0,0.00
15,0,8,0,q_r1_r20 | q_r20_r9,516.5464,264.2409,66061500,66058500,3000,0.00
16,0,8,1,q_r1_r10 | q_r10_r9,516.5464,109.7133,27429000,27429000,0,0.00
17,0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,516.5464,133.2255,33307500,33306000,1500,0.00
18,0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,516.5464,9.3667,2343000,2343000,0,0.00
19,0,9,0,q_r1_r10,1724.4748,1709.9987,427500000,427498500,1500,0.00
20,0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1724.4748,0.5745,144000,144000,0,0.00
