src,dst,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,25.4193,6357000,6357000,0,0.00
0,2,71.5148,17880000,17880000,0,0.00
0,4,33.4483,8365500,8365500,0,0.00
0,6,0.5656,142500,142500,0,0.00
0,7,191.5039,47880000,47878500,1500,0.00
0,8,431.5479,107890500,107886000,4500,0.00
0,9,1467.0749,366772500,366768000,4500,0.00
0,10,0.1404,36000,36000,0,0.00
0,11,416.9652,104244000,32871000,71373000,68.47
0,12,36.4174,9106500,9106500,0,0.00
0,14,12.2451,3060000,3060000,0,0.00
0,15,6.8388,1710000,1710000,0,0.00
0,17,0.0177,4500,4500,0,0.00
0,18,887.9212,221982000,221977500,4500,0.00
0,19,1383.6580,345918000,345904500,13500,0.00
0,21,1.4882,373500,370500,3000,0.80
1,0,1.4289,358500,358500,0,0.00
1,2,1.4389,360000,360000,0,0.00
1,3,0.0120,3000,3000,0,0.00
1,4,13.8513,3465000,3465000,0,0.00
1,5,0.4175,105000,105000,0,0.00
1,6,17.2462,4314000,4314000,0,0.00
1,7,0.1165,28500,28500,0,0.00
1,9,54.7948,13701000,13699500,1500,0.01
1,10,0.0226,3000,3000,0,0.00
1,12,11.1430,2787000,2752500,34500,1.24
1,13,0.0404,10500,9000,1500,14.29
1,14,47.5462,11890500,11890500,0,0.00
1,15,2.0930,525000,525000,0,0.00
1,16,0.0449,9000,7500,1500,16.67
1,17,0.0545,13500,10500,3000,22.22
1,18,152.9095,38232000,38229000,3000,0.01
1,19,0.7212,183000,178500,4500,2.46
1,20,47.5738,11895000,11893500,1500,0.01
1,21,2.3980,600000,597000,3000,0.50
2,0,4941.5329,1235386500,1235368500,18000,0.00
2,1,1.9327,484500,475500,9000,1.86
2,3,1.4012,354000,354000,0,0.00
2,4,1397.8234,349455000,349452000,3000,0.00
2,5,4842.5740,1210645500,1210627500,18000,0.00
2,6,1573.7738,393445500,393441000,4500,0.00
2,7,0.4136,105000,105000,0,0.00
2,8,0.3583,91500,91500,0,0.00
2,9,34.6477,8664000,8664000,0,0.00
2,10,0.5239,133500,132000,1500,1.12
2,11,1.0394,264000,43500,220500,83.52
2,12,0.4936,123000,121500,1500,1.22
