flow_id,src,dst,path_idx,path_hops,demand_mbps,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
1,0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,25.4193,0.2137,54000,54000,0,0.00
2,0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,25.4193,8.4875,2122500,2122500,0,0.00
3,0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,25.4193,16.7176,4180500,4180500,0,0.00
4,0,2,0,q_r1_r3,71.5148,71.5147,17880000,17880000,0,0.00
5,0,4,0,q_r1_r5,33.4483,33.2569,8314500,8314500,0,0.00
6,0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,33.4483,0.0313,9000,9000,0,0.00
7,0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,33.4483,0.0978,25500,25500,0,0.00
8,0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,33.4483,0.0623,16500,16500,0,0.00
9,0,6,0,q_r1_r5 | q_r5_r7,0.5656,0.1766,45000,45000,0,0.00
10,0,6,1,q_r1_r3 | q_r3_r7,0.5656,0.3877,97500,97500,0,0.00
11,0,7,0,q_r1_r5 | q_r5_r8,191.5039,76.0511,19014000,19014000,0,0.00
12,0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,191.5039,16.2722,4069500,4068000,1500,0.04
13,0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,191.5039,98.9976,24750000,24750000,0,0.00
14,0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,191.5039,0.1830,46500,46500,0,0.00
15,0,8,0,q_r1_r20 | q_r20_r9,431.5479,220.7597,55191000,55188000,3000,0.01
16,0,8,1,q_r1_r10 | q_r10_r9,431.5479,91.6598,22915500,22915500,0,0.00
17,0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,431.5479,111.3030,27826500,27825000,1500,0.01
18,0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,431.5479,7.8254,1957500,1957500,0,0.00
19,0,9,0,q_r1_r10,1467.0749,1463.7487,365938500,365935500,3000,0.00
20,0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1467.0749,0.1320,34500,33000,1500,4.35
21,0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1467.0749,2.5601,640500,640500,0,0.00
22,0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1467.0749,0.6343,159000,159000,0,0.00
23,0,10,0,q_r1_r5 | q_r5_r11,0.1404,0.0634,16500,16500,0,0.00
24,0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1404,0.0769,19500,19500,0,0.00
25,0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,416.9652,4.9437,1236000,183000,1053000,85.19
26,0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,416.9652,201.3503,50338500,9055500,41283000,82.01
27,0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,416.9652,209.2035,52302000,23520000,28782000,55.03
28,0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,416.9652,1.4677,367500,112500,255000,69.39
29,0,12,0,q_r1_r5 | q_r5_r13,36.4174,16.0542,4014000,4014000,0,0.00
30,0,12,1,q_r1_r3 | q_r3_r13,36.4174,20.3480,5088000,5088000,0,0.00
31,0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,36.4174,0.0152,4500,4500,0,0.00
32,0,14,0,q_r1_r5 | q_r5_r15,12.2451,12.2390,3060000,3060000,0,0.00
33,0,15,0,q_r1_r16,6.8388,6.8387,1710000,1710000,0,0.00
34,0,17,2,q_r1_r3 | q_r3_r13 | q_r13_r6 | q_r6_r18,0.0177,0.0140,4500,4500,0,0.00
35,0,18,0,q_r1_r5 | q_r5_r19,887.9212,837.7505,209439000,209436000,3000,0.00
36,0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,887.9212,42.5337,10633500,10632000,1500,0.01
37,0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,887.9212,7.6346,1909500,1909500,0,0.00
38,0,19,0,q_r1_r20,1383.6580,893.2000,223300500,223294500,6000,0.00
